fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2016-01-01,0.9622685185185184,13.831140350877194,29.712719298245613,43.56798245614035,33.471014492753625,115.33407079646018,86.90990990990991,21.11764705882353
2016-01-02,0.6106728538283063,7.929515418502203,21.08590308370044,29.006607929515415,24.540834845735027,42.10199004975125,24.50871080139373,5.218673218673219
2016-01-03,0.7114634146341463,16.601382488479263,26.64516129032258,43.26728110599078,19.58679245283019,45.24503311258278,28.20967741935484,17.517156862745097
2016-01-04,0.9169950738916256,33.43356643356643,31.664335664335663,65.14918414918415,9.396190476190476,57.624708624708624,39.48409893992933,12.17936117936118
2016-01-05,0.9910364145658264,49.72222222222222,24.65608465608465,74.37830687830687,17.697916666666668,35.97995991983968,21.185915492957747,2.5782493368700266
2016-01-06,0.6809976247030879,28.10089686098655,20.565022421524663,48.69730941704036,18.87921847246892,30.4369918699187,11.111702127659576,1.6094808126410836
2016-01-07,0.5441037735849057,19.013392857142858,20.770089285714285,39.816964285714285,21.68661971830986,26.66737288135593,9.575498575498576,1.420353982300885
2016-01-08,0.5764835164835165,20.79385964912281,22.396929824561404,43.19956140350877,22.16526138279933,32.295597484276726,10.45658263305322,1.4714912280701755
2016-01-09,0.6703016241299304,24.79814385150812,25.21345707656613,50.01624129930394,26.90747330960854,38.97867803837953,13.53295128939828,1.7428571428571429
2016-01-10,0.6180555555555556,16.52019002375297,21.63420427553444,38.1686460807601,16.76909722222222,27.02552204176334,8.932258064516128,1.3486842105263157
2016-01-11,0.8253968253968254,35.00269541778976,24.16981132075472,59.16711590296496,23.722672064777328,37.0304449648712,9.73941368078176,1.6240601503759398
2016-01-12,1.146875,49.83705357142857,38.783482142857146,88.60267857142857,13.93661971830986,54.22198275862069,19.502906976744185,2.982142857142857
2016-01-13,0.7836644591611479,21.74172185430464,29.249448123620308,50.99779249448124,14.921465968586388,25.38702460850112,11.801223241590217,5.09271523178808
2016-01-14,0.6786813186813186,25.47345132743363,18.101769911504423,43.57743362831859,16.721254355400696,17.32888888888889,6.941538461538461,1.3215859030837005
2016-01-15,0.9214912280701756,39.66228070175438,26.644736842105264,66.30263157894737,22.95644599303136,28.317226890756302,10.92090395480226,1.87280701754386
2016-01-16,1.462280701754386,66.90528634361233,37.20044052863436,104.1431718061674,15.177083333333334,54.40591966173361,21.055710306406684,2.8461538461538463
2016-01-17,1.2147869674185463,43.578947368421055,34.95488721804512,78.52882205513785,32.091633466135455,52.11974789915966,26.676880222841227,4.105263157894737
2016-01-18,1.095575221238938,39.5438202247191,37.80898876404494,77.36629213483145,28.615384615384617,58.91649269311065,25.30167597765363,3.1415929203539825
2016-01-19,0.9919821826280624,26.557522123893804,39.09734513274336,65.64380530973452,24.151142355008787,64.25646551724138,37.78151260504202,10.053452115812918
2016-01-20,1.0777070063694267,31.167848699763592,43.08274231678487,74.25531914893617,24.639455782312925,67.11066398390342,35.098404255319146,6.013513513513513
2016-01-21,1.215158371040724,49.662100456621005,42.98401826484018,92.64383561643837,28.524956970740103,64.90160642570281,30.18351063829787,5.661363636363636
2016-01-22,0.8469298245614035,19.60047281323877,37.52009456264776,57.14893617021277,40.81660899653979,60.3150406504065,28.77211796246649,5.362385321100917
2016-01-23,0.9270334928229664,34.72222222222222,37.96031746031746,72.64021164021165,32.62595419847328,60.41603053435114,29.30049261083744,8.02659574468085
2016-01-24,1.0983333333333334,28.81578947368421,40.24342105263158,69.06798245614036,42.5443686006826,74.8212927756654,39.997549019607845,4.064814814814815
2016-01-25,1.1433760683760683,33.2247191011236,45.986516853932585,79.22247191011236,38.3458110516934,79.22986247544205,35.58080808080808,3.2995391705069124
2016-01-26,0.6143157894736843,16.033259423503328,27.78713968957872,43.78270509977827,23.103146853146853,48.5390625,17.400510204081634,2.206140350877193
2016-01-27,0.6046315789473684,28.11111111111111,20.38888888888889,48.5162037037037,23.708967851099832,43.09126984126984,11.046035805626598,2.1826280623608016
2016-01-28,0.9474358974358974,23.189526184538654,44.229426433915215,67.37406483790524,17.707401032702236,75.29508196721312,43.10659898477157,12.413870246085011
2016-01-29,1.8318181818181816,75.80654761904762,72.19345238095238,148.00595238095238,11.556,111.044,54.46928746928747,22.428571428571427
2016-01-30,1.362637362637363,59.4264705882353,47.56127450980392,106.96813725490196,22.7779632721202,80.69540229885058,36.70149253731344,3.7270916334661353
2016-01-31,0.8685714285714285,21.3980343980344,32.45454545454545,53.83538083538083,29.09515859766277,42.79389312977099,21.444444444444443,2.495029821073558
2016-02-01,0.8219780219780219,21.279411764705884,30.67156862745098,51.9436274509804,34.60100166944908,54.31643002028397,24.010526315789477,2.769383697813121
2016-02-02,0.8696703296703296,36.14742014742015,29.84275184275184,66.01719901719902,25.918333333333333,41.32919254658385,14.45989304812834,2.2043650793650795
2016-02-03,1.02560706401766,43.3743842364532,36.98522167487685,80.32019704433498,29.812395309882746,62.80448065173116,23.98123324396783,3.2315369261477045
2016-02-04,0.9415189873417722,29.487323943661973,43.29577464788732,72.76901408450705,33.61730769230769,93.10978043912176,49.409921671018274,27.66590909090909
2016-02-05,0.966741573033708,28.58291457286432,45.69095477386934,74.29145728643216,37.09044368600683,72.9070707070707,34.37765957446808,17.49798387096774
2016-02-06,0.8203947368421053,25.20343137254902,37.68872549019608,62.91421568627451,34.35666666666667,78.37424547283702,33.606770833333336,14.36111111111111
2016-02-07,0.7427631578947368,19.32758620689655,36.785714285714285,56.1551724137931,30.33333333333333,52.35757575757576,28.58485639686684,17.208333333333332
