fecha,tipo_ingreso,linea,ingreso
2022-01-03,QR/Validación,,0
2022-01-04,Boletos,,846800
2022-01-04,Boletos,,794625
2022-01-04,Boletos,,586445
2022-01-04,Boletos,,121525
2022-01-04,Boletos,,251025
2022-01-04,Boletos,,110075
2022-01-04,Boletos,,254525
2022-01-04,Boletos,,443725
2022-01-04,Boletos,,276775
2022-01-04,Boletos,,379700
2022-01-04,Boletos,,608675
2022-01-04,Boletos,,0
2022-01-04,Recargas,,1287407.2
2022-01-04,Recargas,,1396650.7
2022-01-04,Recargas,,1392985.1
2022-01-04,Recargas,,153538
2022-01-04,Recargas,,419191.1
2022-01-04,Recargas,,247774.9
2022-01-04,Recargas,,747582.5
2022-01-04,Recargas,,981029.6
2022-01-04,Recargas,,725778.7
2022-01-04,Recargas,,657796.2
2022-01-04,Recargas,Línea B,1003198
2022-01-04,Recargas,Línea 12,0
2022-01-04,Tarjetas,Línea 1,12855
2022-01-04,Tarjetas,Línea 2,
2022-01-04,Tarjetas,Línea 3,11325
2022-01-04,Tarjetas,Línea 4,720
2022-01-04,Tarjetas,Línea 5,3645
2022-01-04,Tarjetas,Línea 6,1665
2022-01-04,Tarjetas,Línea 7,5715
2022-01-04,Tarjetas,Línea 8,8400
2022-01-04,Tarjetas,Línea 9,4755
2022-01-04,Tarjetas,Línea A,6855
2022-01-04,Tarjetas,Línea B,7800
2022-01-04,Tarjetas,Línea 12,0
2022-01-04,QR/Validación,Línea 1,0
2022-01-04,QR/Validación,Línea 2,0
2022-01-04,QR/Validación,Línea 3,0
2022-01-04,QR/Validación,Línea 4,0
2022-01-04,QR/Validación,Línea 5,0
2022-01-04,QR/Validación,Línea 6,0
2022-01-04,QR/Validación,,0
2022-01-04,QR/Validación,Línea 8,0
2022-01-04,QR/Validación,,10110
2022-01-04,,,0
2022-01-04,QR/Validación,,
2022-01-04,QR/Validación,,0
2022-01-05,Boletos,,825825
2022-01-05,Boletos,,790675
2022-01-05,Boletos,,571675
2022-01-05,Boletos,,130050
2022-01-05,,,247825
